sheet_index,project_index,project_acc_bioprj,biosample_acc_sra,run_acc_sra,sampleEnteredBy,collectorList,materialSampleID,genus,specificEpithet,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,georeferenceProtocol,habitat,microHabitat,environmentalMedium,yearCollected,monthCollected,dayCollected,establishmentMeans,permitInformation,associatedReferences,preservative,derivedGeneticDataType,derivedGeneticDataURI,derivedGeneticDataFormat,derivedGeneticDataFilename,derivedGeneticDataRemarks,phylum,class,order,family,colloquialName,nomenclaturalCode,scientificNameID,infraspecies,lifeStage,sex,otherCatalogNumbers,associatedMedia,samplingProtocol,tissueType,continentOcean,island,maximumDepthInMeters,maximumElevationInMeters,minimumDepthInMeters,minimumElevationInMeters,stateProvince,landOwner,library_selection_sra,library_strat_sra,read_type_sra,sequencing_platform,instrument_model,study_acc_sra,experiment_acc_sra,package_biosamp,dataset_id
0001,M0066,PRJNA563695,SAMN12685932,SRR10062055,Sofia Beskid,Michelle Stuart,APCL13_528_L0666,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795756,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0565,M0066,PRJNA563695,SAMN12742635,SRR10114556,Sofia Beskid,Michelle Stuart,APCL15_402768_L2804,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,30,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844019,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0566,M0066,PRJNA563695,SAMN12743005,SRR10114765,Sofia Beskid,Michelle Stuart,APCL16_794_L3359,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,15,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844482,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0567,M0066,PRJNA563695,SAMN12743334,SRR10115135,Sofia Beskid,Michelle Stuart,APCL18_293_L3857,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,15,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844775,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0568,M0066,PRJNA563695,SAMN12743326,SRR10115144,Sofia Beskid,Michelle Stuart,APCL18_183_L3849,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,11,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844766,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0569,M0066,PRJNA563695,SAMN12742748,SRR10114431,Sofia Beskid,Michelle Stuart,APCL15_402971_L2925,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,31,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844144,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0570,M0066,PRJNA563695,SAMN12746704,SRR10118106,Sofia Beskid,Michelle Stuart,APCL18_466_L3979,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,19,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847567,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0571,M0066,PRJNA563695,SAMN12686288,SRR10062323,Sofia Beskid,Michelle Stuart,APCL14_263_L1182,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,22,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796151,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0572,M0066,PRJNA563695,SAMN12746749,SRR10118056,Sofia Beskid,Michelle Stuart,APCL18_520_L4024,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,23,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847617,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0573,M0066,PRJNA563695,SAMN12686173,SRR10062451,Sofia Beskid,Michelle Stuart,APCL14_007_L0945,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,7,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796023,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0574,M0066,PRJNA563695,SAMN12747491,SRR10118212,Sofia Beskid,Michelle Stuart,APCL17_523_L5546,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,6,6,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847461,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0575,M0066,PRJNA563695,SAMN12747004,SRR10118526,Sofia Beskid,Michelle Stuart,APCL16_220_L4989,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,21,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847819,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0576,M0066,PRJNA563695,SAMN12747534,SRR10118165,Sofia Beskid,Michelle Stuart,APCL17_367_L5594,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,6,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847508,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0577,M0066,PRJNA563695,SAMN12746798,SRR10118001,Sofia Beskid,Michelle Stuart,APCL18_579_L4075,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,26,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847672,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0578,M0066,PRJNA563695,SAMN12746707,SRR10118102,Sofia Beskid,Michelle Stuart,APCL18_473_L3982,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,19,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847571,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0579,M0066,PRJNA563695,SAMN12746757,SRR10118047,Sofia Beskid,Michelle Stuart,APCL18_532_L4032,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,23,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847626,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0580,M0066,PRJNA563695,SAMN12742756,SRR10114422,Sofia Beskid,Michelle Stuart,APCL15_372957_L2934,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,29,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844153,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0581,M0066,PRJNA563695,SAMN12742964,SRR10114882,Sofia Beskid,Michelle Stuart,APCL16_184_L3316,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,18,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844365,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0582,M0066,PRJNA563695,SAMN12743004,SRR10114766,Sofia Beskid,Michelle Stuart,APCL16_793_L3358,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,15,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844481,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0583,M0066,PRJNA563695,SAMN12747231,SRR10118274,Sofia Beskid,Michelle Stuart,APCL16_523_L5231,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,3,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848071,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0584,M0066,PRJNA563695,SAMN12743249,SRR10115228,Sofia Beskid,Michelle Stuart,APCL18_069_L3770,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,8,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844682,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0585,M0066,PRJNA563695,SAMN12743255,SRR10115222,Sofia Beskid,Michelle Stuart,APCL18_078_L3776,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,8,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844688,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0586,M0066,PRJNA563695,SAMN12742602,SRR10114593,Sofia Beskid,Michelle Stuart,APCL15_355926_L2770,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,6,4,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6843982,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0587,M0066,PRJNA563695,SAMN12746832,SRR10117964,Sofia Beskid,Michelle Stuart,APCL18_625_L4115,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,31,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847709,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0588,M0066,PRJNA563695,SAMN12686180,SRR10062443,Sofia Beskid,Michelle Stuart,APCL14_061_L0952,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,12,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796031,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0589,M0066,PRJNA563695,SAMN12747080,SRR10118441,Sofia Beskid,Michelle Stuart,APCL16_309_L5068,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,28,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847904,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0590,M0066,PRJNA563695,SAMN12686548,SRR10061666,Sofia Beskid,Michelle Stuart,APCL13_514_L2347,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795473,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0591,M0066,PRJNA563695,SAMN12686670,SRR10061531,Sofia Beskid,Michelle Stuart,APCL14_151_L2510,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,16,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795608,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0592,M0066,PRJNA563695,SAMN12686194,SRR10062427,Sofia Beskid,Michelle Stuart,APCL14_458_L0967,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,26,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796047,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0593,M0066,PRJNA563695,SAMN12686371,SRR10062231,Sofia Beskid,Michelle Stuart,APCL14_037_L1293,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,12,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796243,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0594,M0066,PRJNA563695,SAMN12686187,SRR10062435,Sofia Beskid,Michelle Stuart,APCL14_210_L0959,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,18,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796039,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0595,M0066,PRJNA563695,SAMN12685950,SRR10062035,Sofia Beskid,Michelle Stuart,APCL13_604_L0684,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,3,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795776,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0596,M0066,PRJNA563695,SAMN12747201,SRR10118307,Sofia Beskid,Michelle Stuart,APCL16_477_L5198,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848038,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0597,M0066,PRJNA563695,SAMN12685893,SRR10062099,Sofia Beskid,Michelle Stuart,APCL14_335_L0609,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,24,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795712,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0598,M0066,PRJNA563695,SAMN12746966,SRR10118568,Sofia Beskid,Michelle Stuart,APCL17_484_L4949,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,6,5,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847777,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0599,M0066,PRJNA563695,SAMN12742616,SRR10114578,Sofia Beskid,Michelle Stuart,APCL15_403879_L2785,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,30,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6843997,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0600,M0066,PRJNA563695,SAMN12747384,SRR10118651,Sofia Beskid,Michelle Stuart,APCL16_716_L5395,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,7,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848241,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0601,M0066,PRJNA563695,SAMN12742586,SRR10114611,Sofia Beskid,Michelle Stuart,APCL15_403892_L2752,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,6,1,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6843964,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0602,M0066,PRJNA563695,SAMN12746695,SRR10118116,Sofia Beskid,Michelle Stuart,APCL18_457_L3970,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,19,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847557,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0603,M0066,PRJNA563695,SAMN12686406,SRR10062191,Sofia Beskid,Michelle Stuart,APCL14_399_L1730,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,23,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796283,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0604,M0066,PRJNA563695,SAMN12743314,SRR10115157,Sofia Beskid,Michelle Stuart,APCL18_268_L3835,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,14,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844753,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0605,M0066,PRJNA563695,SAMN12685881,SRR10062112,Sofia Beskid,Michelle Stuart,APCL14_292_L0593,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,22,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795699,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0606,M0066,PRJNA563695,SAMN12743168,SRR10114839,Sofia Beskid,Michelle Stuart,APCL17_292_L3676,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,5,29,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844408,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0607,M0066,PRJNA563695,SAMN12686496,SRR10061724,Sofia Beskid,Michelle Stuart,APCL12_212_L2288,Amphiprion,Amphiprion clarkii,,,,,,,,,,2012,5,11,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795415,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0608,M0066,PRJNA563695,SAMN12686034,SRR10061941,Sofia Beskid,Michelle Stuart,APCL13_656_L0773,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,4,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795870,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0609,M0066,PRJNA563695,SAMN12686277,SRR10062335,Sofia Beskid,Michelle Stuart,APCL13_167_L1112,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,5,26,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796139,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0610,M0066,PRJNA563695,SAMN12743310,SRR10115161,Sofia Beskid,Michelle Stuart,APCL18_258_L3831,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,14,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844749,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0611,M0066,PRJNA563695,SAMN12686195,SRR10062426,Sofia Beskid,Michelle Stuart,APCL14_543_L0973,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,7,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796048,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
