"sheet_index","project_index","project_acc_bioprj","biosample_acc_sra","run_acc_sra","sampleEnteredBy","collectorList","materialSampleID","genus","specificEpithet","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","country","georeferenceProtocol","habitat","microHabitat","environmentalMedium","yearCollected","monthCollected","dayCollected","establishmentMeans","permitInformation","associatedReferences","preservative","derivedGeneticDataType","derivedGeneticDataURI","derivedGeneticDataFormat","derivedGeneticDataFilename","derivedGeneticDataRemarks","phylum","class","order","family","colloquialName","nomenclaturalCode","scientificNameID","infraspecies","lifeStage","sex","otherCatalogNumbers","associatedMedia","samplingProtocol","tissueType","continentOcean","island","maximumDepthInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumElevationInMeters","stateProvince","landOwner","library_selection_sra","library_strat_sra","read_type_sra","sequencing_platform","instrument_model","study_acc_sra","experiment_acc_sra","package_biosamp","dataset_id","ligation_id.x","sample_id.x","site.x","date_time.x","gps.x","year.x","month.x","day.x","hour.x","minute.x","lat.x","lon.x","ligation_id.y","sample_id.y","site.y","date_time.y","gps.y","year.y","month.y","day.y","hour.y","minute.y","lat.y","lon.y"
855,"M0066","PRJNA563695","SAMN12746845","SRR10118679","Sofia Beskid","Michelle Stuart","APCL17_182_L4417","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6848213","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L4417","APCL17_182","San Agustin",2017-05-22 02:31:36,5,2017,5,22,2,31,10.76850781685,124.7840829799,"L4417","APCL17_182","San Agustin",2017-05-22 02:31:36,5,2017,5,22,2,31,10.76850781685,124.7840829799
856,"M0066","PRJNA563695","SAMN12686079","SRR10061892","Sofia Beskid","Michelle Stuart","APCL14_325_L0819","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795919","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0819","APCL14_325","Wangag",2014-06-24 01:05:00,1,2014,6,24,1,5,10.871359,124.71440925,"L0819","APCL14_325","Wangag",2014-06-24 01:05:00,1,2014,6,24,1,5,10.871359,124.71440925
857,"M0066","PRJNA563695","SAMN12746719","SRR10118089","Sofia Beskid","Michelle Stuart","APCL18_487_L3994","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847584","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3994","APCL18_487","Wangag",2018-03-21 03:07:00,4,2018,3,21,3,7,10.8687828714,124.7165474505,"L3994","APCL18_487","Wangag",2018-03-21 03:07:00,4,2018,3,21,3,7,10.8687828714,124.7165474505
858,"M0066","PRJNA563695","SAMN12686452","SRR10062141","Sofia Beskid","Michelle Stuart","APCL12_117_L2217","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796333","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2217","APCL12_117","Wangag",2012-05-09 07:00:00,1,2012,5,9,7,0,10.871685,124.71399775,"L2217","APCL12_117","Wangag",2012-05-09 07:00:00,1,2012,5,9,7,0,10.871685,124.71399775
859,"M0066","PRJNA563695","SAMN12685745","SRR10061853","Sofia Beskid","Michelle Stuart","APCL13_267_L0300","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795958","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0300","APCL13_267","Wangag",2013-05-28 02:04:30,1,2013,5,28,2,4,10.8688475,124.7164695,"L0300","APCL13_267","Wangag",2013-05-28 02:04:30,1,2013,5,28,2,4,10.8688475,124.7164695
860,"M0066","PRJNA563695","SAMN12686460","SRR10062132","Sofia Beskid","Michelle Stuart","APCL12_167_L2226","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796342","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2226","APCL12_167","S. Magbangon",2012-05-10 06:06:00,1,2012,5,10,6,6,10.85841025,124.72435275,"L2226","APCL12_167","S. Magbangon",2012-05-10 06:06:00,1,2012,5,10,6,6,10.85841025,124.72435275
861,"M0066","PRJNA563695","SAMN12743003","SRR10114768","Sofia Beskid","Michelle Stuart","APCL16_792_L3357","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844479","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3357","APCL16_792","Palanas",2016-06-14 06:03:00,4,2016,6,14,6,3,10.873501191375,124.7117343731,"L3357","APCL16_792","Palanas",2016-06-14 06:03:00,4,2016,6,14,6,3,10.873501191375,124.7117343731
862,"M0066","PRJNA563695","SAMN12742645","SRR10114545","Sofia Beskid","Michelle Stuart","APCL15_375881_L2814","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844030","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2814","APCL15_375881","Gabas",2015-05-28 05:41:00,3,2015,5,28,5,41,10.72769980875,124.79345991975,"L2814","APCL15_375881","Gabas",2015-05-28 05:41:00,3,2015,5,28,5,41,10.72769980875,124.79345991975
863,"M0066","PRJNA563695","SAMN12685974","SRR10062008","Sofia Beskid","Michelle Stuart","APCL14_086_L0708","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795803","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0708","APCL14_086","Palanas",2014-06-13 03:24:00,1,2014,6,13,3,24,10.87289975,124.7119175,"L0708","APCL14_086","Palanas",2014-06-13 03:24:00,1,2014,6,13,3,24,10.87289975,124.7119175
864,"M0066","PRJNA563695","SAMN12747557","SRR10118140","Sofia Beskid","Michelle Stuart","APCL18_729_L5638","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847533","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5638","APCL18_729","Hicgop South",2018-04-10 01:40:00,4,2018,4,10,1,40,10.810191691875,124.764995605225,"L5638","APCL18_729","Hicgop South",2018-04-10 01:40:00,4,2018,4,10,1,40,10.810191691875,124.764995605225
865,"M0066","PRJNA563695","SAMN12746988","SRR10118544","Sofia Beskid","Michelle Stuart","APCL16_199_L4971","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847801","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L4971","APCL16_199","Gabas",2016-05-19 02:01:00,3,2016,5,19,2,1,10.72770626285,124.793455686875,"L4971","APCL16_199","Gabas",2016-05-19 02:01:00,3,2016,5,19,2,1,10.72770626285,124.793455686875
866,"M0066","PRJNA563695","SAMN12742758","SRR10114420","Sofia Beskid","Michelle Stuart","APCL15_374351_L2937","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844155","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2937","APCL15_374351","Palanas",2015-05-29 06:52:00,3,2015,5,29,6,52,10.8744114451,124.7107446799,"L2937","APCL15_374351","Palanas",2015-05-29 06:52:00,3,2015,5,29,6,52,10.8744114451,124.7107446799
867,"M0066","PRJNA563695","SAMN12742442","SRR10114561","Sofia Beskid","Michelle Stuart","APCL15_370407_L2595","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844014","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2595","APCL15_370407","Sitio Baybayon",2015-06-13 06:07:00,3,2015,6,13,6,7,10.6333762617,124.776655251625,"L2595","APCL15_370407","Sitio Baybayon",2015-06-13 06:07:00,3,2015,6,13,6,7,10.6333762617,124.776655251625
868,"M0066","PRJNA563695","SAMN12686422","SRR10062174","Sofia Beskid","Michelle Stuart","APCL12_107_L1767","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796300","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L1767","APCL12_107","Wangag",2012-05-09 06:33:00,1,2012,5,9,6,33,10.87185575,124.713827,"L1767","APCL12_107","Wangag",2012-05-09 06:33:00,1,2012,5,9,6,33,10.87185575,124.713827
869,"M0066","PRJNA563695","SAMN12686602","SRR10061607","Sofia Beskid","Michelle Stuart","APCL12_066_L2417","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795532","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2417","APCL12_066","Palanas",2012-05-09 02:02:00,1,2012,5,9,2,2,10.87396575,124.7109875,"L2417","APCL12_066","Palanas",2012-05-09 02:02:00,1,2012,5,9,2,2,10.87396575,124.7109875
870,"M0066","PRJNA563695","SAMN12685739","SRR10061920","Sofia Beskid","Michelle Stuart","APCL13_260_L0293","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795891","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0293","APCL13_260","Wangag",2013-05-28 01:35:30,1,2013,5,28,1,35,10.86878625,124.7166445,"L0293","APCL13_260","Wangag",2013-05-28 01:35:30,1,2013,5,28,1,35,10.86878625,124.7166445
871,"M0066","PRJNA563695","SAMN12743223","SRR10114777","Sofia Beskid","Michelle Stuart","APCL16_650_L3741","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844470","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3741","APCL16_650","N. Magbangon",2016-06-06 04:55:00,4,2016,6,6,4,55,10.860984746825,124.7219708981,"L3741","APCL16_650","N. Magbangon",2016-06-06 04:55:00,4,2016,6,6,4,55,10.860984746825,124.7219708981
872,"M0066","PRJNA563695","SAMN12743219","SRR10114782","Sofia Beskid","Michelle Stuart","APCL16_656_L3736","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844465","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3736","APCL16_656","N. Magbangon",2016-06-06 04:55:00,4,2016,6,6,4,55,10.860984746825,124.7219708981,"L3736","APCL16_656","N. Magbangon",2016-06-06 04:55:00,4,2016,6,6,4,55,10.860984746825,124.7219708981
873,"M0066","PRJNA563695","SAMN12747507","SRR10118195","Sofia Beskid","Michelle Stuart","APCL17_353_L5563","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847478","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5563","APCL17_353","Wangag",2017-05-30 07:04:45,5,2017,5,30,7,4,10.8702483424,124.715101174075,"L5563","APCL17_353","Wangag",2017-05-30 07:04:45,5,2017,5,30,7,4,10.8702483424,124.715101174075
874,"M0066","PRJNA563695","SAMN12743356","SRR10115110","Sofia Beskid","Michelle Stuart","APCL18_323_L3885","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844800","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3885","APCL18_323","Sitio Baybayon",2018-03-16 03:06:00,4,2018,3,16,3,6,10.6352300453,124.775917979425,"L3885","APCL18_323","Sitio Baybayon",2018-03-16 03:06:00,4,2018,3,16,3,6,10.6352300453,124.775917979425
875,"M0066","PRJNA563695","SAMN12686549","SRR10061665","Sofia Beskid","Michelle Stuart","APCL14_125_L2348","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795474","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2348","APCL14_125","Haina",2014-06-16 03:38:00,1,2014,6,16,3,38,10.640694752825,124.784599703275,"L2348","APCL14_125","Haina",2014-06-16 03:38:00,1,2014,6,16,3,38,10.640694752825,124.784599703275
876,"M0066","PRJNA563695","SAMN12743357","SRR10115109","Sofia Beskid","Michelle Stuart","APCL18_324_L3886","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844801","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3886","APCL18_324","Sitio Baybayon",2018-03-16 03:06:00,4,2018,3,16,3,6,10.6352300453,124.775917979425,"L3886","APCL18_324","Sitio Baybayon",2018-03-16 03:06:00,4,2018,3,16,3,6,10.6352300453,124.775917979425
877,"M0066","PRJNA563695","SAMN12747207","SRR10118301","Sofia Beskid","Michelle Stuart","APCL16_486_L5204","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6848044","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5204","APCL16_486","S. Magbangon",2016-06-03 01:57:00,3,2016,6,3,1,57,10.85781892295,124.724596655,"L5204","APCL16_486","S. Magbangon",2016-06-03 01:57:00,3,2016,6,3,1,57,10.85781892295,124.724596655
878,"M0066","PRJNA563695","SAMN12686609","SRR10061598","Sofia Beskid","Michelle Stuart","APCL12_161_L2426","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795541","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2426","APCL12_161","S. Magbangon",2012-05-10 03:58:00,1,2012,5,10,3,58,10.85778175,124.724569,"L2426","APCL12_161","S. Magbangon",2012-05-10 03:58:00,1,2012,5,10,3,58,10.85778175,124.724569
879,"M0066","PRJNA563695","SAMN12747144","SRR10118371","Sofia Beskid","Michelle Stuart","APCL16_406_L5138","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847974","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5138","APCL16_406","N. Magbangon",2016-05-31 02:56:00,3,2016,5,31,2,56,10.861555365825,124.72134745215,"L5138","APCL16_406","N. Magbangon",2016-05-31 02:56:00,3,2016,5,31,2,56,10.861555365825,124.72134745215
880,"M0066","PRJNA563695","SAMN12685829","SRR10061760","Sofia Beskid","Michelle Stuart","APCL13_397_L0403","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795379","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0403","APCL13_397","Wangag",2013-05-30 01:20:00,1,2013,5,30,1,20,10.86909025,124.7163755,"L0403","APCL13_397","Wangag",2013-05-30 01:20:00,1,2013,5,30,1,20,10.86909025,124.7163755
881,"M0066","PRJNA563695","SAMN12747184","SRR10118326","Sofia Beskid","Michelle Stuart","APCL16_452_L5179","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6848019","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5179","APCL16_452","S. Magbangon",2016-06-02 03:02:00,3,2016,6,2,3,2,10.8567277668,124.72522083435,"L5179","APCL16_452","S. Magbangon",2016-06-02 03:02:00,3,2016,6,2,3,2,10.8567277668,124.72522083435
882,"M0066","PRJNA563695","SAMN12747301","SRR10118743","Sofia Beskid","Michelle Stuart","APCL16_613_L5305","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6848149","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5305","APCL16_613","Cabatoan",2016-06-06 01:45:00,4,2016,6,6,1,45,10.8555073198,124.726161304875,"L5305","APCL16_613","Cabatoan",2016-06-06 01:45:00,4,2016,6,6,1,45,10.8555073198,124.726161304875
883,"M0066","PRJNA563695","SAMN12747138","SRR10118378","Sofia Beskid","Michelle Stuart","APCL16_396_L5131","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847967","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5131","APCL16_396","N. Magbangon",2016-05-31 02:35:00,3,2016,5,31,2,35,10.8615920157,124.721391708575,"L5131","APCL16_396","N. Magbangon",2016-05-31 02:35:00,3,2016,5,31,2,35,10.8615920157,124.721391708575
