destination,source,year,migration_rate
Tamakin Dacot,Poroc San Flower,migration_rate14,0.0016
Visca,Poroc San Flower,migration_rate14,0.0016
Wangag,Poroc San Flower,migration_rate14,0.0016
Cabatoan,San Agustin,migration_rate14,1e-04
Caridad Cemetery,San Agustin,migration_rate14,0.0017
Elementary School,San Agustin,migration_rate14,0.0016
Haina,San Agustin,migration_rate14,0.0016
Hicgop South,San Agustin,migration_rate14,1e-04
Magbangon,San Agustin,migration_rate14,0.0016
Palanas,San Agustin,migration_rate14,0.0016
Poroc Rose,San Agustin,migration_rate14,0.0016
Poroc San Flower,San Agustin,migration_rate14,1e-04
San Agustin,San Agustin,migration_rate14,1e-04
Sitio Baybayon,San Agustin,migration_rate14,1e-04
Tamakin Dacot,San Agustin,migration_rate14,0.0016
Visca,San Agustin,migration_rate14,0.0016
Wangag,San Agustin,migration_rate14,1e-04
Cabatoan,Sitio Baybayon,migration_rate14,0.0016
Caridad Cemetery,Sitio Baybayon,migration_rate14,0.0011
Elementary School,Sitio Baybayon,migration_rate14,0.0012
Haina,Sitio Baybayon,migration_rate14,1e-04
Hicgop South,Sitio Baybayon,migration_rate14,1e-04
Magbangon,Sitio Baybayon,migration_rate14,0.0016
Palanas,Sitio Baybayon,migration_rate14,1e-04
Poroc Rose,Sitio Baybayon,migration_rate14,0.0016
Poroc San Flower,Sitio Baybayon,migration_rate14,1e-04
San Agustin,Sitio Baybayon,migration_rate14,0.0016
Sitio Baybayon,Sitio Baybayon,migration_rate14,0.1798
Tamakin Dacot,Sitio Baybayon,migration_rate14,1e-04
Visca,Sitio Baybayon,migration_rate14,0.0013
Wangag,Sitio Baybayon,migration_rate14,0.0192
Cabatoan,Tamakin Dacot,migration_rate14,1e-04
Caridad Cemetery,Tamakin Dacot,migration_rate14,0.0015
Elementary School,Tamakin Dacot,migration_rate14,1e-04
Haina,Tamakin Dacot,migration_rate14,1e-04
Hicgop South,Tamakin Dacot,migration_rate14,1e-04
Magbangon,Tamakin Dacot,migration_rate14,0.022
Palanas,Tamakin Dacot,migration_rate14,1e-04
Poroc Rose,Tamakin Dacot,migration_rate14,1e-04
Poroc San Flower,Tamakin Dacot,migration_rate14,1e-04
San Agustin,Tamakin Dacot,migration_rate14,0.0016
Sitio Baybayon,Tamakin Dacot,migration_rate14,1e-04
Tamakin Dacot,Tamakin Dacot,migration_rate14,1e-04
Visca,Tamakin Dacot,migration_rate14,0.0016
Wangag,Tamakin Dacot,migration_rate14,1e-04
Cabatoan,Visca,migration_rate14,1e-04
Caridad Cemetery,Visca,migration_rate14,0.0016
Elementary School,Visca,migration_rate14,0.0016
Haina,Visca,migration_rate14,1e-04
Hicgop South,Visca,migration_rate14,0.0016
Magbangon,Visca,migration_rate14,0.0016
Palanas,Visca,migration_rate14,0.0016
Poroc Rose,Visca,migration_rate14,0.0016
Poroc San Flower,Visca,migration_rate14,0.0016
San Agustin,Visca,migration_rate14,0.0016
Sitio Baybayon,Visca,migration_rate14,0.0016
Tamakin Dacot,Visca,migration_rate14,0.0016
Visca,Visca,migration_rate14,1e-04
Wangag,Visca,migration_rate14,0.0016
Cabatoan,Wangag,migration_rate14,0.0016
Caridad Cemetery,Wangag,migration_rate14,0.0017
Elementary School,Wangag,migration_rate14,1e-04
Haina,Wangag,migration_rate14,1e-04
Hicgop South,Wangag,migration_rate14,0.0016
Magbangon,Wangag,migration_rate14,0.0016
Palanas,Wangag,migration_rate14,0.0016
Poroc Rose,Wangag,migration_rate14,0.0016
Poroc San Flower,Wangag,migration_rate14,1e-04
San Agustin,Wangag,migration_rate14,0.0016
Sitio Baybayon,Wangag,migration_rate14,0.0016
Tamakin Dacot,Wangag,migration_rate14,0.0016
Visca,Wangag,migration_rate14,1e-04
Wangag,Wangag,migration_rate14,0.8158
Cabatoan,Cabatoan,migration_rate15,0.7115
Caridad Cemetery,Cabatoan,migration_rate15,NA
Elementary School,Cabatoan,migration_rate15,1e-04
Haina,Cabatoan,migration_rate15,1e-04
Hicgop South,Cabatoan,migration_rate15,2e-04
Magbangon,Cabatoan,migration_rate15,2e-04
Palanas,Cabatoan,migration_rate15,1e-04
Poroc Rose,Cabatoan,migration_rate15,NA
Poroc San Flower,Cabatoan,migration_rate15,NA
San Agustin,Cabatoan,migration_rate15,2e-04
Sitio Baybayon,Cabatoan,migration_rate15,0.1534
Tamakin Dacot,Cabatoan,migration_rate15,2e-04
Visca,Cabatoan,migration_rate15,2e-04
Wangag,Cabatoan,migration_rate15,2e-04
Cabatoan,Caridad Cemetery,migration_rate15,NA
Caridad Cemetery,Caridad Cemetery,migration_rate15,NA
Elementary School,Caridad Cemetery,migration_rate15,NA
Haina,Caridad Cemetery,migration_rate15,NA
Hicgop South,Caridad Cemetery,migration_rate15,NA
Magbangon,Caridad Cemetery,migration_rate15,NA
Palanas,Caridad Cemetery,migration_rate15,NA
Poroc Rose,Caridad Cemetery,migration_rate15,NA
Poroc San Flower,Caridad Cemetery,migration_rate15,NA
San Agustin,Caridad Cemetery,migration_rate15,NA
Sitio Baybayon,Caridad Cemetery,migration_rate15,NA
Tamakin Dacot,Caridad Cemetery,migration_rate15,NA
Visca,Caridad Cemetery,migration_rate15,NA
Wangag,Caridad Cemetery,migration_rate15,NA
Cabatoan,Elementary School,migration_rate15,0.0854
Caridad Cemetery,Elementary School,migration_rate15,NA
Elementary School,Elementary School,migration_rate15,0.9978
Haina,Elementary School,migration_rate15,2e-04
Hicgop South,Elementary School,migration_rate15,2e-04
Magbangon,Elementary School,migration_rate15,2e-04
Palanas,Elementary School,migration_rate15,2e-04
Poroc Rose,Elementary School,migration_rate15,NA
Poroc San Flower,Elementary School,migration_rate15,NA
San Agustin,Elementary School,migration_rate15,1e-04
Sitio Baybayon,Elementary School,migration_rate15,2e-04
Tamakin Dacot,Elementary School,migration_rate15,1e-04
Visca,Elementary School,migration_rate15,2e-04
Wangag,Elementary School,migration_rate15,2e-04
Cabatoan,Ghost,migration_rate15,0.0842
Caridad Cemetery,Ghost,migration_rate15,NA
Elementary School,Ghost,migration_rate15,9e-04
Haina,Ghost,migration_rate15,7e-04
Hicgop South,Ghost,migration_rate15,0.998
Magbangon,Ghost,migration_rate15,0.864
Palanas,Ghost,migration_rate15,0.8167
Poroc Rose,Ghost,migration_rate15,NA
Poroc San Flower,Ghost,migration_rate15,NA
San Agustin,Ghost,migration_rate15,0.9978
Sitio Baybayon,Ghost,migration_rate15,0.8449
Tamakin Dacot,Ghost,migration_rate15,0.998
Visca,Ghost,migration_rate15,0.9984
Wangag,Ghost,migration_rate15,0.9354
Cabatoan,Haina,migration_rate15,2e-04
Caridad Cemetery,Haina,migration_rate15,NA
Elementary School,Haina,migration_rate15,1e-04
Haina,Haina,migration_rate15,0.9978
Hicgop South,Haina,migration_rate15,2e-04
Magbangon,Haina,migration_rate15,2e-04
Palanas,Haina,migration_rate15,2e-04
Poroc Rose,Haina,migration_rate15,NA
Poroc San Flower,Haina,migration_rate15,NA
San Agustin,Haina,migration_rate15,2e-04
Sitio Baybayon,Haina,migration_rate15,2e-04
Tamakin Dacot,Haina,migration_rate15,2e-04
Visca,Haina,migration_rate15,1e-04
Wangag,Haina,migration_rate15,3e-04
Cabatoan,Hicgop South,migration_rate15,2e-04
Caridad Cemetery,Hicgop South,migration_rate15,NA
Elementary School,Hicgop South,migration_rate15,1e-04
Haina,Hicgop South,migration_rate15,1e-04
Hicgop South,Hicgop South,migration_rate15,1e-04
Magbangon,Hicgop South,migration_rate15,0.0039
Palanas,Hicgop South,migration_rate15,2e-04
Poroc Rose,Hicgop South,migration_rate15,NA
Poroc San Flower,Hicgop South,migration_rate15,NA
San Agustin,Hicgop South,migration_rate15,2e-04
Sitio Baybayon,Hicgop South,migration_rate15,2e-04
Tamakin Dacot,Hicgop South,migration_rate15,2e-04
Visca,Hicgop South,migration_rate15,1e-04
Wangag,Hicgop South,migration_rate15,2e-04
Cabatoan,Magbangon,migration_rate15,0.059
Caridad Cemetery,Magbangon,migration_rate15,NA
Elementary School,Magbangon,migration_rate15,1e-04
Haina,Magbangon,migration_rate15,1e-04
Hicgop South,Magbangon,migration_rate15,2e-04
Magbangon,Magbangon,migration_rate15,0.1028
Palanas,Magbangon,migration_rate15,0.1814
Poroc Rose,Magbangon,migration_rate15,NA
Poroc San Flower,Magbangon,migration_rate15,NA
San Agustin,Magbangon,migration_rate15,2e-04
Sitio Baybayon,Magbangon,migration_rate15,1e-04
Tamakin Dacot,Magbangon,migration_rate15,2e-04
Visca,Magbangon,migration_rate15,1e-04
Wangag,Magbangon,migration_rate15,2e-04
Cabatoan,Palanas,migration_rate15,0.056
Caridad Cemetery,Palanas,migration_rate15,NA
Elementary School,Palanas,migration_rate15,1e-04
Haina,Palanas,migration_rate15,1e-04
Hicgop South,Palanas,migration_rate15,1e-04
Magbangon,Palanas,migration_rate15,2e-04
Palanas,Palanas,migration_rate15,1e-04
Poroc Rose,Palanas,migration_rate15,NA
Poroc San Flower,Palanas,migration_rate15,NA
San Agustin,Palanas,migration_rate15,2e-04
Sitio Baybayon,Palanas,migration_rate15,1e-04
Tamakin Dacot,Palanas,migration_rate15,1e-04
Visca,Palanas,migration_rate15,1e-04
Wangag,Palanas,migration_rate15,0
Cabatoan,Poroc Rose,migration_rate15,NA
Caridad Cemetery,Poroc Rose,migration_rate15,NA
Elementary School,Poroc Rose,migration_rate15,NA
Haina,Poroc Rose,migration_rate15,NA
Hicgop South,Poroc Rose,migration_rate15,NA
Magbangon,Poroc Rose,migration_rate15,NA
Palanas,Poroc Rose,migration_rate15,NA
Poroc Rose,Poroc Rose,migration_rate15,NA
Poroc San Flower,Poroc Rose,migration_rate15,NA
San Agustin,Poroc Rose,migration_rate15,NA
Sitio Baybayon,Poroc Rose,migration_rate15,NA
Tamakin Dacot,Poroc Rose,migration_rate15,NA
Visca,Poroc Rose,migration_rate15,NA
Wangag,Poroc Rose,migration_rate15,NA
Cabatoan,Poroc San Flower,migration_rate15,NA
Caridad Cemetery,Poroc San Flower,migration_rate15,NA
Elementary School,Poroc San Flower,migration_rate15,NA
Haina,Poroc San Flower,migration_rate15,NA
Hicgop South,Poroc San Flower,migration_rate15,NA
Magbangon,Poroc San Flower,migration_rate15,NA
Palanas,Poroc San Flower,migration_rate15,NA
Poroc Rose,Poroc San Flower,migration_rate15,NA
Poroc San Flower,Poroc San Flower,migration_rate15,NA
San Agustin,Poroc San Flower,migration_rate15,NA
Sitio Baybayon,Poroc San Flower,migration_rate15,NA
Tamakin Dacot,Poroc San Flower,migration_rate15,NA
Visca,Poroc San Flower,migration_rate15,NA
Wangag,Poroc San Flower,migration_rate15,NA
Cabatoan,San Agustin,migration_rate15,1e-04
Caridad Cemetery,San Agustin,migration_rate15,NA
Elementary School,San Agustin,migration_rate15,1e-04
Haina,San Agustin,migration_rate15,1e-04
Hicgop South,San Agustin,migration_rate15,1e-04
Magbangon,San Agustin,migration_rate15,0.0275
Palanas,San Agustin,migration_rate15,1e-04
Poroc Rose,San Agustin,migration_rate15,NA
Poroc San Flower,San Agustin,migration_rate15,NA
San Agustin,San Agustin,migration_rate15,1e-04
Sitio Baybayon,San Agustin,migration_rate15,1e-04
Tamakin Dacot,San Agustin,migration_rate15,1e-04
Visca,San Agustin,migration_rate15,1e-04
Wangag,San Agustin,migration_rate15,1e-04
Cabatoan,Sitio Baybayon,migration_rate15,3e-04
Caridad Cemetery,Sitio Baybayon,migration_rate15,NA
Elementary School,Sitio Baybayon,migration_rate15,2e-04
Haina,Sitio Baybayon,migration_rate15,1e-04
Hicgop South,Sitio Baybayon,migration_rate15,2e-04
Magbangon,Sitio Baybayon,migration_rate15,2e-04
Palanas,Sitio Baybayon,migration_rate15,2e-04
Poroc Rose,Sitio Baybayon,migration_rate15,NA
Poroc San Flower,Sitio Baybayon,migration_rate15,NA
San Agustin,Sitio Baybayon,migration_rate15,2e-04
Sitio Baybayon,Sitio Baybayon,migration_rate15,1e-04
Tamakin Dacot,Sitio Baybayon,migration_rate15,2e-04
Visca,Sitio Baybayon,migration_rate15,1e-04
Wangag,Sitio Baybayon,migration_rate15,2e-04
Cabatoan,Tamakin Dacot,migration_rate15,1e-04
Caridad Cemetery,Tamakin Dacot,migration_rate15,NA
Elementary School,Tamakin Dacot,migration_rate15,1e-04
Haina,Tamakin Dacot,migration_rate15,1e-04
Hicgop South,Tamakin Dacot,migration_rate15,2e-04
Magbangon,Tamakin Dacot,migration_rate15,2e-04
Palanas,Tamakin Dacot,migration_rate15,2e-04
Poroc Rose,Tamakin Dacot,migration_rate15,NA
Poroc San Flower,Tamakin Dacot,migration_rate15,NA
San Agustin,Tamakin Dacot,migration_rate15,2e-04
Sitio Baybayon,Tamakin Dacot,migration_rate15,2e-04
Tamakin Dacot,Tamakin Dacot,migration_rate15,2e-04
Visca,Tamakin Dacot,migration_rate15,1e-04
Wangag,Tamakin Dacot,migration_rate15,0.0629
Cabatoan,Visca,migration_rate15,0.0012
Caridad Cemetery,Visca,migration_rate15,NA
Elementary School,Visca,migration_rate15,1e-04
Haina,Visca,migration_rate15,2e-04
Hicgop South,Visca,migration_rate15,2e-04
Magbangon,Visca,migration_rate15,2e-04
Palanas,Visca,migration_rate15,2e-04
Poroc Rose,Visca,migration_rate15,NA
Poroc San Flower,Visca,migration_rate15,NA
San Agustin,Visca,migration_rate15,2e-04
Sitio Baybayon,Visca,migration_rate15,1e-04
Tamakin Dacot,Visca,migration_rate15,2e-04
Visca,Visca,migration_rate15,1e-04
Wangag,Visca,migration_rate15,0
Cabatoan,Wangag,migration_rate15,2e-04
Caridad Cemetery,Wangag,migration_rate15,NA
Elementary School,Wangag,migration_rate15,1e-04
Haina,Wangag,migration_rate15,2e-04
Hicgop South,Wangag,migration_rate15,2e-04
Magbangon,Wangag,migration_rate15,2e-04
Palanas,Wangag,migration_rate15,2e-04
Poroc Rose,Wangag,migration_rate15,NA
Poroc San Flower,Wangag,migration_rate15,NA
San Agustin,Wangag,migration_rate15,2e-04
Sitio Baybayon,Wangag,migration_rate15,2e-04
Tamakin Dacot,Wangag,migration_rate15,2e-04
Visca,Wangag,migration_rate15,2e-04
Wangag,Wangag,migration_rate15,1e-04
